x	y	r	h	coefficient_scaled_64_times_6_pow_15
0	0	0	0	578547930240
0	0	2	0	2672340439680
0	0	4	0	7594589496960
0	0	6	0	10331213040000
0	0	8	0	10198973513088
0	0	10	0	-1460144776320
0	0	12	0	82649704320
0	1	0	0	-8678218953600
0	1	2	0	-40085106595200
0	1	4	0	-113918842454400
0	1	6	0	-154968195600000
0	1	8	0	-152984602696320
0	1	10	0	21902171644800
0	1	12	0	-1239745564800
0	2	0	0	60747532675200
0	2	2	0	280595746166400
0	2	4	0	797431897180800
0	2	6	0	1084777369200000
0	2	8	0	1070892218874240
0	2	10	0	-153315201513600
0	2	12	0	8678218953600
0	3	0	0	-261149597216640
0	3	0	2	293865615360
0	3	1	3	-10203667200
0	3	2	0	-1208862125285760
0	3	2	2	2644790538240
0	3	3	3	-289784148480
0	3	4	0	-3443522382622080
0	3	4	2	9991430922240
0	3	5	3	-1891759898880
0	3	6	0	-4690645198807680
0	3	6	2	20178772254720
0	3	7	3	-3175381232640
0	3	8	0	-4638965665173120
0	3	8	2	17925802536960
0	3	9	3	-3499857849600
0	3	10	0	664365873225600
0	3	10	2	-881596846080
0	3	11	3	526509227520
0	3	12	0	-37605615465600
0	3	13	3	-18366600960
0	4	0	0	767122924129920
0	4	0	2	-2816212147200
0	4	1	3	111560094720
0	4	2	0	3569598214300800
0	4	2	2	-26113225098240
0	4	2	4	20407334400
0	4	3	3	2530509465600
0	4	4	0	10229825661356160
0	4	4	2	-101955042662400
0	4	4	4	481613091840
0	4	5	3	16802038656000
0	4	6	0	13985800319387520
0	4	6	2	-214570876815360
0	4	6	4	1967267036160
0	4	7	3	27111823994880
0	4	8	0	13903183266802560
0	4	8	2	-199673522703360
0	4	8	4	5697727764480
0	4	9	3	37459703024640
0	4	10	0	-1993097619676800
0	4	10	2	10162852531200
0	4	10	4	265295347200
0	4	11	3	-6220155525120
0	4	12	0	112816846396800
0	4	12	4	-73466403840
0	4	13	3	220399211520
0	5	0	0	-1623969074805120
0	5	0	2	13125090493440
0	5	1	3	-595440668160
0	5	2	0	-7625163425235840
0	5	2	2	122920177536000
0	5	2	4	-34012224000
0	5	3	3	-10810445276160
0	5	3	5	-4534963200
0	5	4	0	-22091435726348160
0	5	4	2	487430542632960
0	5	4	4	-2620301736960
0	5	5	3	-71361727418880
0	5	5	5	-259853391360
0	5	6	0	-30408233305034880
0	5	6	2	1056996524759040
0	5	6	4	-11877068620800
0	5	7	3	-106896338565120
0	5	7	5	-2144130600960
0	5	8	0	-30528386792221824
0	5	8	2	1021958492083200
0	5	8	4	-47459296880640
0	5	9	3	-186535280816640
0	5	9	5	-2157735490560
0	5	10	0	4384814763288960
0	5	10	2	-53605986001920
0	5	10	4	-2901922951680
0	5	11	3	33770056965120
0	5	11	5	-89792271360
0	5	12	0	-248197062072960
0	5	12	4	808130442240
0	5	13	3	-1212195663360
0	5	13	5	12244400640
0	6	0	0	2547671315794560
0	6	0	2	-38009340564480
0	6	1	3	1955778462720
0	6	2	0	12128943084531840
0	6	2	2	-358183184440320
0	6	2	4	66663959040
0	6	3	3	29447632373760
0	6	4	0	35742974452053120
0	6	4	2	-1433975317678080
0	6	4	4	8475846220800
0	6	4	6	19349176320
0	6	5	3	191710127324160
0	6	5	5	657569664000
0	6	6	0	49728960818305920
0	6	6	2	-3182602708039680
0	6	6	4	36572664222720
0	6	6	6	341331563520
0	6	7	3	259766320066560
0	6	7	5	11268476559360
0	6	8	0	50722610256109440
0	6	8	2	-3177201566868480
0	6	8	4	185412877424640
0	6	8	6	1827590169600
0	6	9	3	572458381655040
0	6	9	5	13621215467520
0	6	10	0	-7308024605481600
0	6	10	2	171054276940800
0	6	10	4	14525940625920
0	6	10	6	661197634560
0	6	11	3	-111424045824000
0	6	11	5	1044855521280
0	6	12	0	413661770121600
0	6	12	4	-4040652211200
0	6	12	6	-24488801280
0	6	13	3	4040652211200
0	6	13	5	-122444006400
0	7	0	0	-2999224177315200
0	7	0	2	74345279708160
0	7	1	3	-4280274627840
0	7	2	0	-14569729436960640
0	7	2	2	708807794549760
0	7	2	4	-774722880000
0	7	3	3	-55668033768960
0	7	3	5	117455546880
0	7	4	0	-44016871732364160
0	7	4	2	2869893413591040
0	7	4	4	-24134771819520
0	7	4	6	-91707033600
0	7	5	3	-360890784218880
0	7	5	5	1295336655360
0	7	5	7	-2683186560
0	7	6	0	-62198166613322880
0	7	6	2	6505341220915200
0	7	6	4	-89265308636160
0	7	6	6	-1131624483840
0	7	7	3	-437993094804480
0	7	7	5	-21576447912960
0	7	7	7	-273760611840
0	7	8	0	-64919239767550080
0	7	8	2	6680259286502400
0	7	8	4	-457358294661120
0	7	8	6	-9208696273920
0	7	9	3	-1207144848096000
0	7	9	5	-33269397027840
0	7	9	7	-916742810880
0	7	10	0	9396031635619200
0	7	10	2	-367699351219200
0	7	10	4	-43896176294400
0	7	10	6	-4693686912000
0	7	11	3	248867443008000
0	7	11	5	-5358966013440
0	7	11	7	-96594716160
0	7	12	0	-531850847299200
0	7	12	4	12121956633600
0	7	12	6	220399211520
0	7	13	3	-9091467475200
0	7	13	5	550998028800
0	7	13	7	3061100160
0	8	0	0	2652530473307520
0	8	0	2	-101664805017600
0	8	1	3	6479353866240
0	8	2	0	13261323622320000
0	8	2	2	-990934808832000
0	8	2	4	3324128025600
0	8	3	3	75288854384640
0	8	3	5	-539358289920
0	8	4	0	41492587864245120
0	8	4	2	-4085446763704320
0	8	4	4	56976672983040
0	8	4	6	324501811200
0	8	5	3	497548952524800
0	8	5	5	-8216143994880
0	8	5	7	-22674816000
0	8	6	0	59899157949156480
0	8	6	2	-9479462600724480
0	8	6	4	194156286474240
0	8	6	6	1065414021120
0	8	6	8	4119258240
0	8	7	3	545566956871680
0	8	7	5	9820916305920
0	8	7	7	936621066240
0	8	8	0	64518407068199040
0	8	8	2	-10002810051901440
0	8	8	4	804048975360000
0	8	8	6	17298163630080
0	8	8	8	194587712640
0	8	9	3	1843076161935360
0	8	9	5	30964728729600
0	8	9	7	4981203578880
0	8	10	0	-9396031635619200
0	8	10	2	560842526914560
0	8	10	4	88918837447680
0	8	10	6	14725932503040
0	8	10	8	191035324800
0	8	11	3	-396424715120640
0	8	11	5	16032001904640
0	8	11	7	669360568320
0	8	12	0	531850847299200
0	8	12	4	-24243913267200
0	8	12	6	-881596846080
0	8	12	8	21427701120
0	8	13	3	14546347960320
0	8	13	5	-1469328076800
0	8	13	7	-24488801280
0	9	0	0	-1746281642855040
0	9	0	2	97994508134400
0	9	1	3	-6898686796800
0	9	2	0	-9090837001941120
0	9	2	2	991603564738560
0	9	2	4	-7471503037440
0	9	3	3	-73533521295360
0	9	3	5	1289138872320
0	9	4	0	-29854604090586240
0	9	4	2	4209487077150720
0	9	4	4	-98469772277760
0	9	4	6	-852976189440
0	9	5	3	-511334333660160
0	9	5	5	17050554639360
0	9	5	7	128037127680
0	9	6	0	-44348934435765120
0	9	6	2	10062949105889280
0	9	6	4	-337501031270400
0	9	6	6	477682790400
0	9	6	8	5630912640
0	9	7	3	-519173471047680
0	9	7	5	32738806333440
0	9	7	7	-1003738521600
0	9	7	9	-5038848000
0	9	8	0	-49778713899573120
0	9	8	2	10931784565524480
0	9	8	4	-1062215360409600
0	9	8	6	-10677117358080
0	9	8	8	-780429375360
0	9	9	3	-2088086618741760
0	9	9	5	23253477304320
0	9	9	7	-11777299430400
0	9	9	9	-46105459200
0	9	10	0	7308024605481600
0	9	10	2	-622260440524800
0	9	10	4	-126680569021440
0	9	10	6	-26981217054720
0	9	10	8	-918216673920
0	9	11	3	461809814538240
0	9	11	5	-31084451758080
0	9	11	7	-2002639749120
0	9	11	9	-28116771840
0	9	12	0	-413661770121600
0	9	12	4	33941478574080
0	9	12	6	2057059307520
0	9	12	8	-149993907840
0	9	13	3	-16970739287040
0	9	13	5	2571324134400
0	9	13	7	85710804480
0	9	13	9	-1360488960
0	10	0	0	838755313269120
0	10	0	2	-65603986974720
0	10	1	3	5171672033280
0	10	2	0	4619476887569280
0	10	2	2	-705995210373120
0	10	2	4	10290033054720
0	10	3	3	51711883038720
0	10	3	5	-1915568455680
0	10	4	0	16209508640595840
0	10	4	2	-3137581407375360
0	10	4	4	119125017999360
0	10	4	6	1356860989440
0	10	5	3	392657067694080
0	10	5	5	-21037996615680
0	10	5	7	-229267584000
0	10	6	0	24998820360958080
0	10	6	2	-7813113954693120
0	10	6	4	424412694005760
0	10	6	6	-2034686822400
0	10	6	8	-75544928640
0	10	7	3	382308281671680
0	10	7	5	-75247737384960
0	10	7	7	109443778560
0	10	7	9	22372485120
0	10	8	0	29567250319584384
0	10	8	2	-8780427047208960
0	10	8	4	1065698212147200
0	10	8	6	-12238958684160
0	10	8	8	1269827487360
0	10	8	10	503884800
0	10	9	3	1766671101941760
0	10	9	5	-99217738874880
0	10	9	7	16478242283520
0	10	9	9	124257991680
0	10	10	0	-4384814763288960
0	10	10	2	505889656842240
0	10	10	4	129423314764800
0	10	10	6	32178284881920
0	10	10	8	1766028044160
0	10	10	10	9674588160
0	10	11	3	-396424715120640
0	10	11	5	40912624005120
0	10	11	7	3368570664960
0	10	11	9	145118822400
0	10	12	0	248197062072960
0	10	12	4	-33941478574080
0	10	12	6	-3085588961280
0	10	12	8	449981723520
0	10	12	10	2720977920
0	10	13	3	14546347960320
0	10	13	5	-3085588961280
0	10	13	7	-171421608960
0	10	13	9	8162933760
0	11	0	0	-284327113887360
0	11	0	2	29259784120320
0	11	1	3	-2689006429440
0	11	2	0	-1691775164327040
0	11	2	2	348944859740160
0	11	2	4	-8904148300800
0	11	3	3	-25756625825280
0	11	3	5	1827791723520
0	11	4	0	-6497862953224320
0	11	4	2	1663638552023040
0	11	4	4	-98763637893120
0	11	4	6	-1104112373760
0	11	5	3	-222922691792640
0	11	5	5	17622564664320
0	11	5	7	125794840320
0	11	6	0	-10518512575489920
0	11	6	2	4387206843002880
0	11	6	4	-369398148433920
0	11	6	6	3184753489920
0	11	6	8	217010586240
0	11	7	3	-216679634703360
0	11	7	5	82084647905280
0	11	7	7	87373624320
0	11	7	9	-59962291200
0	11	8	0	-13275094491573120
0	11	8	2	5140672838830080
0	11	8	4	-797714538762240
0	11	8	6	30454998865920
0	11	8	8	-978002605440
0	11	8	10	2519424000
0	11	9	3	-1106202009219840
0	11	9	5	129230125332480
0	11	9	7	-16097758871040
0	11	9	9	-98408701440
0	11	9	11	-755827200
0	11	10	0	1993097619676800
0	11	10	2	-299008263628800
0	11	10	4	-94747172152320
0	11	10	6	-26333624309760
0	11	10	8	-1668753083520
0	11	10	10	-27209779200
0	11	11	3	248867443008000
0	11	11	5	-37084208071680
0	11	11	7	-3469246848000
0	11	11	9	-321075394560
0	11	11	11	-1209323520
0	11	12	0	-112816846396800
0	11	12	4	24243913267200
0	11	12	6	3085588961280
0	11	12	8	-749969539200
0	11	12	10	-13604889600
0	11	13	3	-9091467475200
0	11	13	5	2571324134400
0	11	13	7	214277011200
0	11	13	9	-20407334400
0	11	13	11	-453496320
0	12	0	0	64740945686400
0	12	0	2	-8055404743680
0	12	1	3	935915627520
0	12	2	0	426628136903040
0	12	2	2	-114312817382400
0	12	2	4	4565246676480
0	12	3	3	8748851005440
0	12	3	5	-1100484403200
0	12	4	0	1854210063461760
0	12	4	2	-605147303393280
0	12	4	4	53968783057920
0	12	4	6	227755929600
0	12	5	3	91084735872000
0	12	5	5	-10245388861440
0	12	5	7	122645560320
