x	y	r	h	coefficient_scaled_64_times_6_pow_15
0	0	0	2	578547930240
0	0	2	4	2672340439680
0	0	4	6	7594589496960
0	0	6	8	10331213040000
0	0	8	10	10198973513088
0	0	10	12	-1460144776320
0	0	12	14	82649704320
0	1	0	2	-8678218953600
0	1	2	4	-40085106595200
0	1	4	6	-113918842454400
0	1	6	8	-154968195600000
0	1	8	10	-152984602696320
0	1	10	12	21902171644800
0	1	12	14	-1239745564800
0	2	0	2	60747532675200
0	2	2	4	280595746166400
0	2	4	6	797431897180800
0	2	6	8	1084777369200000
0	2	8	10	1070892218874240
0	2	10	12	-153315201513600
0	2	12	14	8678218953600
0	3	0	0	293865615360
0	3	0	2	-261149597216640
0	3	1	0	-10203667200
0	3	2	2	2644790538240
0	3	2	4	-1208862125285760
0	3	3	2	-289784148480
0	3	4	4	9991430922240
0	3	4	6	-3443522382622080
0	3	5	4	-1891759898880
0	3	6	6	20178772254720
0	3	6	8	-4690645198807680
0	3	7	6	-3175381232640
0	3	8	8	17925802536960
0	3	8	10	-4638965665173120
0	3	9	8	-3499857849600
0	3	10	10	-881596846080
0	3	10	12	664365873225600
0	3	11	10	526509227520
0	3	12	14	-37605615465600
0	3	13	12	-18366600960
0	4	0	0	-2816212147200
0	4	0	2	767122924129920
0	4	1	0	111560094720
0	4	2	0	20407334400
0	4	2	2	-26113225098240
0	4	2	4	3569598214300800
0	4	3	2	2530509465600
0	4	4	2	481613091840
0	4	4	4	-101955042662400
0	4	4	6	10229825661356160
0	4	5	4	16802038656000
0	4	6	4	1967267036160
0	4	6	6	-214570876815360
0	4	6	8	13985800319387520
0	4	7	6	27111823994880
0	4	8	6	5697727764480
0	4	8	8	-199673522703360
0	4	8	10	13903183266802560
0	4	9	8	37459703024640
0	4	10	8	265295347200
0	4	10	10	10162852531200
0	4	10	12	-1993097619676800
0	4	11	10	-6220155525120
0	4	12	10	-73466403840
0	4	12	14	112816846396800
0	4	13	12	220399211520
0	5	0	0	13125090493440
0	5	0	2	-1623969074805120
0	5	1	0	-595440668160
0	5	2	0	-34012224000
0	5	2	2	122920177536000
0	5	2	4	-7625163425235840
0	5	3	0	-4534963200
0	5	3	2	-10810445276160
0	5	4	2	-2620301736960
0	5	4	4	487430542632960
0	5	4	6	-22091435726348160
0	5	5	2	-259853391360
0	5	5	4	-71361727418880
0	5	6	4	-11877068620800
0	5	6	6	1056996524759040
0	5	6	8	-30408233305034880
0	5	7	4	-2144130600960
0	5	7	6	-106896338565120
0	5	8	6	-47459296880640
0	5	8	8	1021958492083200
0	5	8	10	-30528386792221824
0	5	9	6	-2157735490560
0	5	9	8	-186535280816640
0	5	10	8	-2901922951680
0	5	10	10	-53605986001920
0	5	10	12	4384814763288960
