x	y	r	h	coefficient_scaled_64_times_6_pow_15
0	3	0	0	1175462461440
0	3	0	1	-3526387384320
0	3	0	2	3526387384320
0	3	1	0	81629337600
0	3	1	1	-367332019200
0	3	1	2	367332019200
0	4	0	0	-11264848588800
0	4	0	1	33794545766400
0	4	0	2	-33794545766400
0	4	1	0	-892480757760
0	4	1	1	4016163409920
0	4	1	2	-4016163409920
0	4	2	0	326517350400
0	4	2	1	-1959104102400
0	4	2	2	4897760256000
0	4	2	3	-5877312307200
0	4	2	4	2938656153600
0	5	0	0	52500361973760
0	5	0	1	-157501085921280
0	5	0	2	157501085921280
0	5	1	0	4763525345280
0	5	1	1	-21435864053760
0	5	1	2	21435864053760
0	5	2	0	-544195584000
0	5	2	1	3265173504000
0	5	2	2	-8162933760000
0	5	2	3	9795520512000
0	5	2	4	-4897760256000
0	5	3	0	145118822400
0	5	3	1	-1088391168000
0	5	3	2	3047495270400
0	5	3	3	-3918208204800
0	5	3	4	1959104102400
0	6	0	0	-152037362257920
0	6	0	1	456112086773760
0	6	0	2	-456112086773760
0	6	1	0	-15646227701760
0	6	1	1	70408024657920
0	6	1	2	-70408024657920
0	6	2	0	1066623344640
0	6	2	1	-6399740067840
0	6	2	2	15999350169600
0	6	2	3	-19199220203520
0	6	2	4	9599610101760
0	6	4	0	1238347284480
0	6	4	1	-11145125560320
0	6	4	2	43862164070400
0	6	4	3	-95996101017600
0	6	4	4	124403110502400
0	6	4	5	-91686071992320
0	6	4	6	30562023997440
0	7	0	0	297381118832640
0	7	0	1	-892143356497920
0	7	0	2	892143356497920
0	7	1	0	34242197022720
0	7	1	1	-154089886602240
0	7	1	2	154089886602240
0	7	2	0	-12395566080000
0	7	2	1	74373396480000
0	7	2	2	-185933491200000
0	7	2	3	223120189440000
0	7	2	4	-111560094720000
0	7	3	0	-3758577500160
0	7	3	1	28189331251200
0	7	3	2	-78930127503360
0	7	3	3	101481592504320
0	7	3	4	-50740796252160
0	7	4	0	-5869250150400
0	7	4	1	52823251353600
0	7	4	2	-206743530332160
0	7	4	3	448112411688960
0	7	4	4	-574735840174080
0	7	4	5	420815561195520
0	7	4	6	-140271853731840
0	7	5	0	343447879680
0	7	5	1	-3606202736640
0	7	5	2	15970326405120
0	7	5	3	-38637886464000
0	7	5	4	54093041049600
0	7	5	5	-41728917381120
0	7	5	6	13909639127040
0	8	0	0	-406659220070400
0	8	0	1	1219977660211200
0	8	0	2	-1219977660211200
0	8	1	0	-51834830929920
0	8	1	1	233256739184640
0	8	1	2	-233256739184640
0	8	2	0	53186048409600
0	8	2	1	-319116290457600
0	8	2	2	797790726144000
0	8	2	3	-957348871372800
0	8	2	4	478674435686400
0	8	3	0	17259465277440
0	8	3	1	-129445989580800
0	8	3	2	362448770826240
0	8	3	3	-466005562490880
0	8	3	4	233002781245440
0	8	4	0	20768115916800
0	8	4	1	-186913043251200
0	8	4	2	735984619683840
0	8	4	3	-1612212069335040
0	8	4	4	2091278325841920
0	8	4	5	-1542206749409280
0	8	4	6	514068916469760
0	8	5	0	2902376448000
0	8	5	1	-30474952704000
0	8	5	2	134960504832000
0	8	5	3	-326517350400000
0	8	5	4	457124290560000
0	8	5	5	-352638738432000
0	8	5	6	117546246144000
0	8	6	0	1054530109440
0	8	6	1	-12654361313280
0	8	6	2	63852281856000
0	8	6	3	-176058155335680
0	8	6	4	288641337753600
0	8	6	5	-286812840591360
0	8	6	6	172401161011200
0	8	6	7	-65825897840640
0	8	6	8	16456474460160
0	9	0	0	391978032537600
0	9	0	1	-1175934097612800
0	9	0	2	1175934097612800
0	9	1	0	55189494374400
0	9	1	1	-248352724684800
0	9	1	2	248352724684800
0	9	2	0	-119544048599040
0	9	2	1	717264291594240
0	9	2	2	-1793160728985600
0	9	2	3	2151792874782720
0	9	2	4	-1075896437391360
0	9	3	0	-41252443914240
0	9	3	1	309393329356800
0	9	3	2	-866301322199040
0	9	3	3	1113815985684480
0	9	3	4	-556907992842240
0	9	4	0	-54590476124160
0	9	4	1	491314285117440
0	9	4	2	-1950280877998080
0	9	4	3	4331970991226880
0	9	4	4	-5701080009277440
0	9	4	5	4242113416396800
0	9	4	6	-1414037805465600
0	9	5	0	-16388752343040
0	9	5	1	172081899601920
0	9	5	2	-762076983951360
0	9	5	3	1843734638592000
0	9	5	4	-2581228494028800
0	9	5	5	1991233409679360
0	9	5	6	-663744469893120
0	9	6	0	1441513635840
0	9	6	1	-17298163630080
0	9	6	2	114469727109120
0	9	6	3	-485335389634560
